session_id,wpm,accuracy,error_rate,backspace_count,pause_time_ms,session_duration_min,words_typed,typing_style
124,108.5,91.0,9.6,6,120,14.8,26,Fast Typist
125,61.9,86.9,14.2,12,386,19.7,19,Balanced Typist
126,80.2,76.9,30.0,20,992,13.0,18,Inconsistent Typist
127,73.3,94.6,6.8,16,496,10.8,13,Balanced Typist
128,109.6,80.5,30.0,49,611,2.0,4,Inconsistent Typist
129,61.1,90.1,10.8,19,458,28.0,27,Balanced Typist
130,27.8,98.7,1.6,6,822,13.7,6,Careful Typist
131,97.1,72.9,30.0,34,771,18.7,29,Inconsistent Typist
132,64.8,95.0,4.0,12,558,18.8,19,Careful Typist
133,66.4,91.7,11.6,11,305,15.6,18,Balanced Typist
134,81.8,92.1,10.8,8,120,22.4,28,Balanced Typist
135,80.4,76.7,27.3,19,997,2.0,3,Inconsistent Typist
136,88.2,85.0,20.8,41,329,11.0,16,Inconsistent Typist
137,37.3,78.0,26.4,54,743,17.7,10,Inconsistent Typist
138,66.3,97.1,2.6,6,723,23.3,26,Careful Typist
139,104.8,94.7,4.5,7,169,21.6,39,Fast Typist
140,100.7,98.7,2.3,12,196,28.0,45,Fast Typist
141,45.4,96.1,4.9,10,919,38.8,27,Careful Typist
142,37.3,99.7,1.2,11,890,8.4,6,Careful Typist
143,67.9,82.9,26.5,78,996,7.6,9,Inconsistent Typist
144,54.3,95.9,10.4,45,635,9.1,8,Inconsistent Typist
145,68.2,78.1,28.0,14,979,28.2,31,Inconsistent Typist
146,37.8,100.0,0.3,6,998,29.5,18,Careful Typist
147,72.6,93.2,9.7,14,411,11.9,15,Balanced Typist
148,61.2,96.3,5.6,12,1356,29.2,29,Careful Typist
149,66.9,90.4,12.6,15,481,28.6,30,Balanced Typist
150,60.2,87.0,15.2,16,466,28.8,30,Balanced Typist
151,59.1,87.1,16.0,18,451,22.4,21,Balanced Typist
152,60.5,84.4,24.6,39,688,12.0,12,Inconsistent Typist
153,64.4,77.0,30.0,25,843,2.0,2,Inconsistent Typist
154,78.4,83.5,22.4,31,715,31.9,43,Inconsistent Typist
155,56.3,89.7,11.4,17,504,27.2,25,Balanced Typist
156,115.9,96.2,5.7,13,227,16.8,32,Fast Typist
157,77.0,92.1,7.2,16,236,17.4,23,Balanced Typist
158,72.0,89.6,11.2,20,436,22.4,28,Balanced Typist
159,40.8,100.0,0.7,11,712,40.1,27,Careful Typist
160,89.6,92.7,9.9,18,209,20.8,32,Fast Typist
161,61.6,85.5,16.0,19,351,23.5,26,Balanced Typist
162,40.6,96.7,3.7,12,909,27.5,20,Careful Typist
163,101.5,100.0,1.1,3,142,24.7,44,Fast Typist
164,85.8,94.6,7.1,5,391,14.6,21,Fast Typist
165,111.6,98.3,0.2,4,417,15.4,30,Fast Typist
166,58.2,98.0,2.6,7,1096,5.0,5,Careful Typist
167,93.1,95.9,5.5,2,350,11.0,18,Fast Typist
168,84.1,91.6,10.4,19,509,28.2,39,Balanced Typist
169,51.8,96.0,4.5,22,1043,22.1,18,Careful Typist
170,79.4,87.0,16.0,13,482,23.7,32,Balanced Typist
171,40.8,97.4,3.6,16,380,30.0,21,Careful Typist
172,76.0,90.9,11.2,8,526,24.1,29,Balanced Typist
173,57.9,94.4,6.1,5,365,29.1,30,Balanced Typist
174,52.4,96.8,3.0,9,1127,27.7,24,Careful Typist
175,103.0,92.1,8.7,6,309,21.3,39,Fast Typist
176,70.8,100.0,1.0,8,1146,34.6,39,Careful Typist
177,63.2,85.2,26.5,13,973,18.9,21,Inconsistent Typist
178,77.7,97.8,2.5,14,1097,27.1,34,Careful Typist
179,93.8,94.8,9.1,4,162,6.4,10,Fast Typist
180,74.0,89.7,10.4,12,358,13.8,16,Balanced Typist
181,65.7,71.1,30.0,33,727,17.2,18,Inconsistent Typist
182,67.2,93.8,7.2,17,595,28.4,30,Balanced Typist
183,70.8,91.0,11.1,20,218,32.7,36,Balanced Typist
184,92.9,98.8,0.8,0,325,15.5,25,Fast Typist
185,61.5,86.5,16.0,13,383,17.0,19,Balanced Typist
186,58.0,97.0,3.8,9,702,38.5,36,Careful Typist
187,53.8,95.7,4.3,8,991,22.5,19,Careful Typist
188,45.0,98.5,2.0,12,830,42.7,30,Careful Typist
189,105.1,95.2,5.0,7,108,4.8,9,Fast Typist
190,52.6,94.9,7.1,6,216,26.3,21,Balanced Typist
191,116.2,94.7,7.0,11,284,11.8,23,Fast Typist
192,78.0,98.6,2.3,6,1346,36.5,47,Careful Typist
193,22.9,74.0,30.0,28,368,2.0,1,Inconsistent Typist
194,48.2,79.6,26.2,20,473,2.0,2,Inconsistent Typist
195,79.5,85.2,16.0,19,601,15.5,22,Balanced Typist
196,100.0,98.1,4.0,8,434,14.4,24,Fast Typist
197,101.7,93.6,5.5,1,235,28.6,46,Fast Typist
198,74.7,89.0,12.2,21,557,14.0,17,Balanced Typist
199,56.6,94.5,5.4,11,1257,5.0,5,Careful Typist
200,72.0,70.0,30.0,38,665,12.8,16,Inconsistent Typist
201,76.4,82.4,22.3,49,903,34.7,45,Inconsistent Typist
202,117.5,91.0,10.9,14,220,20.5,41,Fast Typist
203,81.3,91.0,11.9,9,672,22.0,30,Balanced Typist
204,76.8,78.1,28.0,37,233,31.8,39,Inconsistent Typist
205,56.7,95.9,3.7,8,532,29.0,29,Careful Typist
206,73.7,88.3,12.0,20,421,31.1,40,Balanced Typist
207,72.6,91.4,11.8,18,543,34.3,43,Balanced Typist
208,51.2,95.6,4.7,5,1019,40.6,33,Careful Typist
209,120.0,86.4,24.4,31,248,46.2,86,Inconsistent Typist
210,111.3,93.6,6.1,10,189,12.7,23,Fast Typist
211,29.4,98.8,2.3,17,819,26.9,13,Careful Typist
212,112.8,92.4,9.2,6,104,19.0,38,Fast Typist
213,72.7,96.4,4.5,11,943,18.7,24,Careful Typist
214,54.1,91.9,10.1,11,468,21.5,19,Balanced Typist
215,111.1,70.0,30.0,15,416,2.0,4,Inconsistent Typist
216,59.2,92.9,7.5,16,245,35.3,33,Balanced Typist
217,52.0,97.0,7.9,40,661,20.6,18,Inconsistent Typist
218,103.6,98.5,4.2,10,205,19.7,32,Fast Typist
219,67.7,94.7,5.4,17,1245,7.3,9,Careful Typist
220,104.5,97.1,4.9,13,193,22.1,41,Fast Typist
221,63.7,87.0,13.7,12,335,16.8,18,Balanced Typist
222,93.2,97.5,4.7,6,224,24.4,40,Fast Typist
223,57.6,78.4,28.2,20,704,16.3,16,Inconsistent Typist
224,45.7,96.4,3.0,10,1164,19.8,15,Careful Typist
225,75.1,91.1,11.5,8,397,15.7,20,Balanced Typist
226,62.1,94.8,6.7,15,891,16.9,18,Careful Typist
227,79.7,88.5,11.8,17,662,17.6,23,Balanced Typist
228,62.7,92.4,12.7,21,491,19.0,21,Balanced Typist
229,120.0,95.4,4.2,5,234,22.9,48,Fast Typist
230,72.1,96.1,5.2,14,534,26.6,30,Balanced Typist
231,99.6,91.3,11.6,5,174,9.1,16,Fast Typist
232,43.5,96.8,3.7,17,829,49.0,36,Careful Typist
233,107.4,94.9,5.6,9,231,18.8,34,Fast Typist
234,87.3,82.9,18.5,32,779,4.7,7,Inconsistent Typist
235,106.1,98.3,2.9,0,199,9.9,18,Fast Typist
236,33.0,95.5,5.4,10,845,13.2,7,Careful Typist
237,59.7,97.3,2.9,4,986,20.6,20,Careful Typist
238,108.6,92.2,9.6,7,321,20.6,35,Fast Typist
239,58.8,90.9,11.0,13,391,21.7,22,Balanced Typist
240,74.3,90.9,14.3,12,850,2.0,2,Inconsistent Typist
241,105.7,94.9,5.8,1,116,19.2,34,Fast Typist
242,84.6,87.8,12.0,6,231,10.2,15,Fast Typist
243,56.0,94.0,14.3,30,576,31.3,31,Inconsistent Typist
244,91.4,80.3,27.5,47,765,19.1,29,Inconsistent Typist
245,114.9,100.0,0.0,7,270,13.9,29,Fast Typist
246,74.2,90.7,9.1,17,516,34.1,44,Balanced Typist
247,65.0,96.4,6.2,16,385,14.8,15,Balanced Typist
248,81.6,92.5,10.5,17,302,16.2,21,Balanced Typist
249,74.7,93.1,8.2,20,432,13.2,17,Balanced Typist
250,54.2,82.9,29.3,33,604,8.7,8,Inconsistent Typist
251,43.1,80.8,28.6,38,1053,38.6,26,Inconsistent Typist
252,78.5,84.2,19.8,37,460,33.9,47,Inconsistent Typist
253,81.0,91.3,11.6,14,183,19.1,24,Balanced Typist
254,74.6,95.2,6.6,11,383,18.5,23,Balanced Typist
255,75.7,88.8,13.4,30,242,8.8,11,Balanced Typist
256,91.5,96.3,7.1,12,302,17.7,27,Fast Typist
257,52.9,96.9,2.8,16,380,31.6,30,Careful Typist
258,78.0,90.2,13.2,15,444,24.5,32,Balanced Typist
259,118.0,94.0,6.7,7,69,14.2,28,Fast Typist
260,90.5,92.8,8.4,7,335,20.3,28,Fast Typist
261,53.3,93.7,9.2,17,614,11.9,11,Balanced Typist
262,71.8,92.7,10.0,19,318,29.6,38,Balanced Typist
263,70.5,88.7,14.3,23,399,12.0,15,Balanced Typist
264,92.2,87.7,19.4,11,768,39.1,58,Inconsistent Typist
265,73.8,90.8,11.7,17,424,34.5,39,Balanced Typist
266,73.1,94.5,5.2,16,657,12.0,15,Balanced Typist
267,59.5,89.5,13.3,12,455,18.9,20,Balanced Typist
268,76.7,90.3,12.3,18,323,27.0,34,Balanced Typist
269,89.6,90.6,9.2,13,398,31.1,44,Balanced Typist
270,108.2,93.3,7.4,2,97,20.0,37,Fast Typist
271,101.6,93.7,6.1,8,150,12.6,21,Fast Typist
272,116.7,92.2,9.7,9,260,5.1,10,Fast Typist
273,47.7,72.0,30.0,28,723,9.1,8,Inconsistent Typist
274,85.3,96.5,4.5,5,147,19.2,26,Fast Typist
275,67.8,94.8,8.3,22,372,30.2,34,Balanced Typist
276,55.5,99.5,2.6,16,865,55.0,52,Careful Typist
277,68.0,95.8,6.8,23,427,18.7,21,Balanced Typist
278,69.0,89.8,13.3,8,459,26.4,30,Balanced Typist
279,64.5,97.3,5.6,10,945,23.4,25,Careful Typist
280,74.5,91.0,11.9,12,363,22.2,27,Balanced Typist
281,88.5,81.7,22.6,43,957,29.7,46,Inconsistent Typist
282,88.1,80.4,28.7,45,662,37.3,58,Inconsistent Typist
283,109.2,98.8,2.1,2,162,11.4,22,Fast Typist
284,97.3,95.0,6.6,17,329,12.8,19,Fast Typist
285,76.9,97.4,5.1,22,292,20.4,26,Balanced Typist
286,82.1,74.2,30.0,36,694,7.1,10,Inconsistent Typist
287,93.1,91.3,10.1,7,323,3.0,5,Fast Typist
288,47.0,97.3,3.2,13,1345,33.9,25,Careful Typist
289,65.1,89.1,13.0,13,597,17.3,18,Balanced Typist
290,89.1,98.4,3.0,8,176,19.2,30,Fast Typist
291,107.5,93.4,8.9,16,273,7.1,12,Fast Typist
292,63.9,92.7,10.2,21,449,28.5,32,Balanced Typist
293,84.7,86.9,14.5,23,254,24.9,34,Balanced Typist
294,73.4,90.6,10.6,15,468,4.2,5,Balanced Typist
295,61.5,98.9,2.7,17,820,18.5,19,Careful Typist
296,91.1,94.1,6.2,6,178,12.8,19,Fast Typist
297,74.3,92.3,7.7,21,241,19.1,24,Balanced Typist
298,58.2,93.4,11.2,25,391,20.1,21,Balanced Typist
299,72.2,82.6,22.1,36,715,14.2,18,Inconsistent Typist
300,98.4,94.1,10.0,3,141,11.9,18,Fast Typist
301,87.3,94.0,5.2,6,200,20.5,29,Fast Typist
302,94.4,96.3,6.0,10,218,22.3,35,Fast Typist
303,50.2,95.3,5.6,7,1234,26.1,20,Careful Typist
304,86.6,84.8,16.0,8,348,17.4,27,Balanced Typist
305,72.9,92.7,7.8,7,572,15.6,18,Balanced Typist
306,39.6,93.2,10.2,57,1440,23.7,16,Inconsistent Typist
307,77.4,81.0,23.0,48,1045,45.2,61,Inconsistent Typist
308,64.9,96.2,7.9,7,643,21.2,22,Balanced Typist
309,81.1,100.0,1.7,17,171,8.2,11,Fast Typist
310,79.7,95.7,6.4,21,328,27.9,37,Balanced Typist
311,42.7,94.3,6.0,6,591,6.0,4,Careful Typist
312,60.1,96.6,4.3,8,980,37.4,39,Careful Typist
313,67.2,94.9,7.4,20,360,11.1,12,Balanced Typist
314,66.8,87.3,18.8,32,601,18.4,21,Inconsistent Typist
315,84.8,94.8,7.8,18,213,17.4,24,Balanced Typist
316,100.2,94.6,5.9,9,379,30.2,49,Fast Typist
317,88.6,92.3,11.4,13,556,22.9,34,Balanced Typist
318,76.7,93.4,10.0,12,418,14.0,18,Balanced Typist
319,105.2,70.0,30.0,39,682,18.1,31,Inconsistent Typist
320,59.7,97.3,3.2,16,1119,27.4,29,Careful Typist
321,82.3,81.0,19.6,62,665,18.2,23,Inconsistent Typist
322,51.5,88.9,11.4,26,590,17.8,15,Inconsistent Typist
323,61.0,90.1,11.3,24,470,28.5,30,Balanced Typist
324,73.6,96.0,4.9,8,1246,24.6,29,Careful Typist
325,114.6,93.7,8.4,8,347,10.3,20,Fast Typist
326,107.8,96.7,4.4,11,182,12.2,22,Fast Typist
327,61.5,91.6,9.6,19,560,31.6,35,Balanced Typist
328,115.3,97.8,2.8,2,119,9.5,19,Fast Typist
329,112.5,76.8,25.4,42,936,4.8,9,Inconsistent Typist
330,61.3,72.6,30.0,31,234,23.0,25,Inconsistent Typist
331,79.7,80.4,23.8,28,630,27.2,36,Inconsistent Typist
332,120.0,93.1,7.2,4,379,23.7,51,Fast Typist
333,75.0,71.9,30.0,6,310,11.7,14,Inconsistent Typist
334,101.6,92.8,8.3,11,71,25.8,44,Fast Typist
335,102.9,92.8,8.5,7,269,8.6,14,Fast Typist
336,99.5,95.8,6.5,8,267,14.7,26,Fast Typist
337,90.1,94.8,4.0,10,347,17.0,27,Fast Typist
338,90.6,95.6,6.6,3,264,18.0,26,Fast Typist
339,59.6,100.0,0.0,9,1340,5.0,5,Careful Typist
340,120.0,93.5,7.9,6,270,25.9,49,Fast Typist
341,74.4,77.3,30.0,42,589,23.0,28,Inconsistent Typist
342,49.6,90.2,13.1,41,665,35.6,29,Inconsistent Typist
343,96.9,92.9,10.1,6,140,16.9,29,Fast Typist
344,85.6,88.6,14.5,22,438,22.3,30,Balanced Typist
345,54.0,96.6,4.5,9,1072,14.0,12,Careful Typist
346,66.5,94.9,5.2,10,380,30.3,31,Careful Typist
347,64.6,76.8,24.7,29,681,2.0,2,Inconsistent Typist
348,58.3,97.2,4.1,11,636,17.1,18,Careful Typist
349,63.6,89.6,12.8,20,485,22.5,25,Balanced Typist
350,79.7,91.7,10.3,10,162,31.1,42,Balanced Typist
351,56.7,97.4,3.1,14,946,33.9,32,Careful Typist
352,44.9,87.2,17.8,39,477,29.9,21,Inconsistent Typist
353,92.0,96.6,4.7,12,312,20.6,33,Fast Typist
354,120.0,96.6,1.9,13,147,10.8,21,Fast Typist
355,70.4,94.6,16.1,14,398,21.6,25,Inconsistent Typist
356,100.1,94.8,4.9,1,191,13.3,22,Fast Typist
357,49.0,100.0,0.5,9,943,12.6,10,Careful Typist
358,96.9,95.8,6.6,11,233,14.2,25,Fast Typist
359,106.4,91.2,9.5,4,69,15.2,28,Fast Typist
360,78.2,87.2,16.0,10,349,13.0,16,Balanced Typist
361,91.9,94.9,7.3,3,344,26.6,42,Fast Typist
362,103.4,99.1,3.3,9,321,13.5,22,Fast Typist
363,54.7,95.8,5.6,11,1276,40.3,40,Careful Typist
364,72.8,91.7,13.4,17,435,24.6,31,Balanced Typist
365,89.9,94.9,5.8,7,420,10.7,17,Fast Typist
366,46.3,98.0,3.1,15,732,17.4,13,Careful Typist
367,112.4,94.4,6.9,10,280,20.5,40,Fast Typist
368,113.5,93.2,6.9,6,186,8.2,17,Fast Typist
369,104.5,92.2,9.0,12,319,16.0,30,Fast Typist
370,105.0,87.7,21.8,39,298,31.5,51,Inconsistent Typist
371,73.6,85.8,24.8,48,581,35.2,42,Inconsistent Typist
372,56.8,98.5,1.8,12,796,10.7,10,Careful Typist
373,77.4,92.6,8.5,12,337,24.3,33,Balanced Typist
374,55.5,95.3,5.7,16,444,39.0,36,Balanced Typist
375,75.5,96.0,4.8,23,135,23.1,27,Balanced Typist
376,29.0,88.4,18.7,32,1102,2.0,1,Inconsistent Typist
377,54.5,96.9,5.9,9,1500,24.3,23,Careful Typist
378,86.3,97.7,4.7,12,370,35.8,54,Fast Typist
379,107.2,92.0,7.2,1,268,21.4,40,Fast Typist
380,67.0,88.5,17.9,36,664,33.1,36,Inconsistent Typist
381,56.7,98.9,2.2,9,759,32.2,31,Careful Typist
382,27.1,94.6,13.9,42,1129,29.0,14,Inconsistent Typist
383,70.8,91.4,11.1,25,221,15.0,17,Balanced Typist
384,71.7,91.7,10.7,14,636,19.9,24,Balanced Typist
385,101.5,91.6,9.6,3,269,9.1,17,Fast Typist
386,75.5,86.5,14.8,15,283,29.8,37,Balanced Typist
387,53.5,83.6,22.6,59,1166,27.7,23,Inconsistent Typist
388,114.1,93.9,7.3,7,184,22.1,42,Fast Typist
389,110.0,93.2,8.6,14,120,25.4,45,Fast Typist
390,76.9,88.9,15.3,11,450,13.9,18,Balanced Typist
391,70.8,95.4,5.3,16,433,14.8,18,Balanced Typist
392,88.9,80.5,23.4,30,700,5.3,8,Inconsistent Typist
393,66.6,98.5,0.8,15,792,27.1,31,Careful Typist
394,99.7,95.1,7.2,0,310,7.9,14,Fast Typist
395,82.2,97.1,5.2,1,182,15.7,22,Fast Typist
396,67.1,90.2,11.7,14,425,11.8,13,Balanced Typist
397,63.6,91.0,12.0,20,442,19.9,20,Balanced Typist
398,57.3,91.7,10.5,9,530,4.0,4,Balanced Typist
399,36.1,97.4,4.0,12,941,19.7,12,Careful Typist
400,72.7,96.8,3.8,15,1185,23.0,27,Careful Typist
401,104.3,96.8,5.5,7,149,30.8,51,Fast Typist
402,36.0,80.7,24.5,42,1031,23.2,13,Inconsistent Typist
403,103.2,92.9,6.6,13,258,17.1,30,Fast Typist
404,76.1,87.4,13.6,18,394,22.7,29,Balanced Typist
405,57.6,97.3,4.1,19,1283,24.6,24,Careful Typist
406,59.8,85.4,15.9,16,443,6.9,6,Balanced Typist
407,84.6,93.5,10.9,22,497,24.1,35,Balanced Typist
408,118.1,97.3,5.1,8,153,6.2,13,Fast Typist
409,84.9,95.9,6.2,7,197,26.8,35,Fast Typist
410,71.1,90.0,12.4,16,511,4.0,5,Balanced Typist
411,99.0,91.8,11.2,0,136,23.6,41,Fast Typist
412,59.2,97.2,3.2,9,913,17.3,17,Careful Typist
413,56.9,89.7,12.6,14,646,16.2,16,Balanced Typist
414,58.7,95.8,6.1,16,413,21.7,22,Balanced Typist
415,117.7,94.2,5.3,12,501,17.1,35,Fast Typist
416,30.7,79.5,22.9,9,1207,16.7,8,Inconsistent Typist
417,95.1,95.1,5.3,1,197,23.5,34,Fast Typist
418,63.2,86.9,18.8,38,962,11.4,11,Inconsistent Typist
419,53.9,98.0,3.5,9,1007,35.2,30,Careful Typist
420,77.5,95.5,7.0,13,272,17.8,24,Balanced Typist
421,85.3,96.0,5.2,14,357,23.0,33,Balanced Typist
422,82.5,88.9,13.1,16,366,15.7,23,Balanced Typist
423,74.9,90.0,13.3,15,408,23.5,28,Balanced Typist
424,104.4,89.4,12.0,5,272,19.0,32,Fast Typist
425,66.1,91.4,9.3,17,320,15.0,17,Balanced Typist
426,48.3,97.0,9.8,41,600,21.6,19,Inconsistent Typist
427,108.9,95.0,6.8,4,219,8.1,14,Fast Typist
428,70.3,90.7,12.5,18,274,23.9,27,Balanced Typist
429,72.1,72.4,30.0,29,864,8.9,11,Inconsistent Typist
430,109.6,95.8,5.1,16,230,16.6,31,Fast Typist
431,116.9,92.9,11.8,14,93,14.5,29,Fast Typist
432,42.3,73.9,28.2,25,1030,9.7,6,Inconsistent Typist
433,68.2,90.0,12.4,13,317,20.2,22,Balanced Typist
434,73.6,95.1,9.0,11,324,22.5,28,Balanced Typist
